Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 256GB),176999.0,249999.0,29,0,0,Lenovo,Core i7,256GB,Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS
Lenovo Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS (8GB - 1TB),202999.0,254999.0,20,0,0,Lenovo,Core i7,1TB,Thinkbook 15 G2 15.6 Inches 11th Gen Core i7 DOS
Lenovo ThinkPad X1 Carbon G12 Ultra 7 (32GB-512GB SSD),549999.0,609999.0,10,0,0,Lenovo,Ultra 7,512GB,ThinkPad X1 Carbon G12 Ultra 7
HP Pavilion 15 EG3020TX 15.6 Inches 13th Gen Core i7 Win 11 (16GB - 512GB),339999.0,369999.0,8,0,0,Hp,Core i7,512GB,Pavilion 15 EG3020TX 15.6 Inches 13th Gen Core i7 Win 11
HP VICTUS 15-FA2093DX Ci7-13620H (16GB-1TB SSD) RTX 5060 8GB,357999.0,539999.0,34,0,0,Hp,Core i7,1TB,VICTUS 15-FA2093DX Ci7-13620H  RTX 5060 8GB
Lenovo Ideapad Slim 3 13th Gen Core i3 DOS,101999.0,129999.0,22,0,0,Lenovo,Core i3,512GB,Ideapad Slim 3 13th Gen Core i3 DOS
ASUS EXPERTBOOK B1503CVA Ci5-1334U (16GB -512GB SSD),153999.0,200000.0,23,0,0,Asus,Core i5,512GB,EXPERTBOOK B1503CVA Ci5-1334U
ASUS TUF FX507VV-Ci7-13620H (16GB 1TB) RTX 4060 8GB,356999.0,400000.0,11,0,0,Asus,Core i7,1TB,TUF FX507VV-Ci7-13620H  RTX 4060 8GB
Lenovo Thinkbook 16 14th Core 7 (8GB-512GB SSD),229999.0,350000.0,34,0,0,Lenovo,Core 7,512GB,Thinkbook 16 14th Core 7
Lenovo ThinkPad E16 G1 15.6 Inches 13th Gen Core i7 (16GB - 512GB),254999.0,300000.0,15,0,0,Lenovo,Core i7,512GB,ThinkPad E16 G1 15.6 Inches 13th Gen Core i7
Lenovo ThinkPad E14 G5 13th Gen Core i5 1335u (8GB-512GB),243999.0,290000.0,16,0,0,Lenovo,Core i5,512GB,ThinkPad E14 G5 13th Gen Core i5 1335u
HP ProBook 460 G11 | Intel® Core™ Ultra 5 (16GB-512GB),197999.0,250000.0,21,0,0,Hp,Ultra 5,512GB,ProBook 460 G11 | Intel® Core™ Ultra 5
HP 15-FD0336TU Ci5-1334U (8GB-512GB SSD),144999.0,190000.0,24,0,0,Hp,Core i5,512GB,15-FD0336TU Ci5-1334U
